, subjectID,block, pixl_dist1, pixl_sd1, seqfoil1, rep1, rep_num1, speed1, sspa1
107,60ffc920d214a4c8b242e4f0,1,18.651,20.379, seq, False,0,1.814,98.333
108,665f1ceee21302a3a1bfcaf8,1,13.3,9.197, seq, False,0,1.768,96.667
109,5ffe168936fe8d478cbee469,1,13.144,11.338, seq, False,0,1.766,98.333
110,6109402937910fba8a1dc1cc,1,23.224,20.698, seq, False,0,1.816,96.667
111,590eb4006d77630001d3a28a,1,21.332,16.204, seq, False,0,1.79,95.0
112,66413412d9d93d6b67936792,1,17.692,14.202, seq, False,0,1.766,98.333
113,663fcea972ffe91cdff8c3af,1,17.885,20.459, seq, False,0,1.87,91.667
114,65fcc90aa0ff1d0a9d70cdd8,1,35.562,31.687, seq, False,0,2.282,83.333
115,61741ba984f258d5c6a1303c,1,55.115,31.532, seq, False,0,2.146,88.333
116,653137c3a721fe2112a2f69d,1,25.765,21.686, seq, False,0,2.245,71.667
117,6661340c0e4ea1b1aa325a66,1,33.011,24.828, foil, False,0,1.981,76.667
118,6529a9238b8d20b36e0409f0,1,19.775,16.646, seq, False,0,2.028,91.667
119,663eed3d72f4269ddd149f33,1,40.262,27.724, foil, False,0,1.896,91.667
120,664540a75ff13d4c9e4e772b,1,16.127,12.118, seq, False,0,1.742,100.0
121,666612e684b049e29ce1e32a,1,25.558,17.412, seq, False,0,1.742,100.0
122,5f2de74422e6b814d089f3fa,1,33.806,23.513, seq, False,0,1.948,86.667
123,6648b8441f3c9338dfbbc545,1,53.629,35.956, seq, False,0,2.056,91.667
124,60fcca74f480ae6c4a630564,1,30.28,17.967, seq, False,0,2.058,90.0
125,620bdf2aa922fc3f247f706b,1,21.643,18.566, seq, False,0,1.742,100.0
126,6644ccaf5b872d17ba667944,1,12.26,10.818, seq, False,0,1.998,95.0
127,660239dfee05632e96331abd,1,22.585,14.42, seq, False,0,1.742,100.0
128,662964adfd096d4667bc5b85,1,30.174,26.971, seq, False,0,2.154,83.333
129,666989933490eb7900c9cb3b,1,24.493,33.022, seq, False,0,1.892,76.667
130,6668a8af90b04e621be67530,1,28.132,22.535, seq, False,0,1.742,100.0
131,5f40442792000717762de583,1,19.828,12.523, seq, False,0,1.742,100.0
132,608606a3fe863e64eca952bc,1,43.634,27.351, seq, False,0,1.842,96.667
133,66730785948770b920c13b76,1,20.39,11.985, seq, False,0,1.742,100.0
134,611122ab2e3422c03ae3c6d3,1,19.55,14.331, seq, False,0,2.056,90.0
135,610466e3fb619bdbdf8eb32d,1,32.39,31.339, foil, False,0,2.245,86.667
136,6625b7712f9e02114e112b3b,1,41.573,28.824, foil, False,0,2.189,85.0
137,65bfa2967c731d263eb29732,1,43.811,22.692, seq, False,0,2.028,91.667
138,5e571601a5b2230d6d2cb29e,1,25.644,25.34, seq, False,0,2.219,75.0
139,6108a8dd5da79df13111996a,1,27.774,19.747, seq, False,0,2.242,88.333
